,Cloudiness,Country,Humidity,Latitude,Longitude,Temperature,Windspeed
122,0,PK,62,29.19,72.85,72.26,10.42
123,48,NA,96,-26.65,15.16,55.61,9.75
124,75,AU,50,-42.78,147.06,51.8,14.99
125,40,US,100,39.31,-74.98,71.62,7.52
126,0,SA,33,18.39,42.45,59.0,5.5
127,90,CA,100,47.66,-52.73,41.0,4.7
128,0,RO,87,45.08,26.0,51.8,6.93
129,56,RU,46,46.45,135.83,48.86,2.82
130,0,QA,84,25.29,51.53,86.0,6.93
131,0,PK,79,30.96,73.98,69.38,5.61
132,0,RU,44,51.31,119.61,42.56,3.38
133,0,PE,93,-13.71,-76.2,62.6,11.41
134,0,RU,50,56.17,91.82,53.6,11.18
135,40,US,64,22.08,-159.32,81.55,13.87
136,0,CN,67,38.52,102.19,43.64,3.71
137,0,ML,78,12.35,-4.78,76.85,9.08
138,76,CD,43,-10.88,26.6,65.6,6.17
139,1,JP,65,26.35,127.87,82.27,10.29
140,20,LA,59,14.89,105.88,89.6,4.7
141,1,US,81,35.61,-88.82,73.99,8.05
142,20,MX,88,20.71,-105.21,80.6,2.24
143,88,MV,100,-0.6,73.08,83.33,10.87
144,24,CA,100,54.77,-101.88,30.68,5.95
145,75,NL,93,52.08,5.41,47.1,3.36
146,75,MR,94,20.93,-17.03,68.0,8.05
147,68,PG,96,-6.22,155.63,81.53,3.94
148,90,US,95,33.19,-82.53,74.41,5.82
149,12,PH,100,11.72,122.09,81.44,11.54
150,0,GY,94,6.8,-58.16,75.2,4.7
151,75,JP,71,43.93,141.67,55.4,4.7
152,48,PT,100,38.52,-28.7,66.95,23.29
153,40,MU,78,-20.34,57.76,73.4,14.99
154,90,PE,94,-3.75,-73.25,75.2,6.93
155,12,CA,84,66.15,-65.72,21.68,4.94
156,88,RU,90,66.32,-179.17,38.06,11.88
157,0,RU,64,62.65,135.58,30.68,3.6
158,44,UY,84,-33.69,-53.46,56.15,12.55
159,0,ZW,76,-19.28,30.53,51.65,10.42
160,76,RU,64,55.93,158.7,35.18,1.92
161,0,BR,64,-20.25,-43.81,73.4,5.82
162,88,CN,72,25.1,117.03,70.28,2.48
163,0,AU,59,-28.95,153.24,82.16,3.94
164,90,US,90,44.67,-103.85,32.0,4.72
165,12,RU,58,48.12,132.48,50.93,3.38
166,36,PG,100,-2.02,147.27,80.72,3.71
167,20,MX,73,22.89,-109.91,74.48,9.17
168,92,RU,97,71.64,128.87,32.03,7.63
169,0,CL,86,-41.87,-73.83,37.88,3.94
170,40,ES,68,38.18,-1.13,63.5,8.05
171,75,US,96,39.95,-94.76,64.94,9.17
172,92,RU,96,60.14,32.56,51.11,11.43
173,40,MU,78,-20.41,57.7,73.4,14.99
174,90,RU,87,59.7,30.79,51.8,6.71
175,76,SL,99,7.99,-10.85,69.11,2.82
176,64,RU,95,71.98,102.47,33.02,14.0
177,8,NZ,67,-35.17,173.16,62.99,9.98
178,68,US,41,39.46,-117.13,48.23,11.65
179,8,BR,85,-1.2,-46.02,79.28,10.2
180,0,TR,90,38.2,37.19,37.25,3.6
181,75,TZ,56,-5.09,32.32,71.6,14.99
182,88,GL,100,65.42,-52.9,27.35,8.3
183,90,US,90,30.04,-94.42,72.97,11.41
184,92,EE,93,59.1,26.19,53.0,13.67
185,92,NZ,95,-46.28,169.85,44.36,11.65
186,88,RU,74,58.52,125.52,36.35,10.76
187,40,BR,93,-29.69,-53.81,66.2,2.24
188,90,CA,92,70.47,-68.59,26.6,12.75
189,75,ES,88,36.68,-6.14,67.44,2.24
190,20,NI,94,12.34,-86.68,75.2,4.7
191,0,SA,25,17.54,44.22,64.4,1.25
192,20,ID,85,-7.52,109.29,79.73,8.75
193,75,JP,94,33.93,134.5,71.04,8.05
194,0,UY,87,-34.91,-54.96,51.8,3.36
195,76,RU,63,57.84,108.35,39.5,3.49
196,92,CA,89,51.64,-111.93,29.06,9.19
197,88,BR,96,-20.63,-46.0,65.6,1.92
198,48,NE,33,18.74,7.39,76.13,3.49
199,0,EG,80,28.42,30.79,65.69,6.96
200,0,TM,81,38.44,57.43,38.24,4.94
201,88,BS,100,26.54,-77.06,82.61,10.87
202,56,SB,95,-8.15,159.59,82.61,5.39
203,32,PF,100,-16.48,-151.75,81.35,4.72
204,0,ES,81,43.48,-8.23,55.58,8.05
205,36,PH,86,11.0,122.67,84.05,4.5
206,56,FO,87,62.23,-6.59,46.4,9.17
207,44,ID,80,-0.95,122.79,84.86,4.16
208,12,MX,72,18.62,-100.35,67.67,1.92
209,0,CL,74,-28.58,-70.76,48.95,2.26
210,12,GL,53,60.91,-46.05,24.8,4.7
211,75,MX,78,16.99,-99.26,82.4,1.14
212,36,BR,93,-9.87,-56.08,74.69,2.37
213,20,GR,87,39.45,22.34,53.6,2.24
214,75,CO,78,11.24,-74.21,80.6,6.93
215,0,RO,94,45.2,27.57,49.94,8.41
216,0,AU,69,-28.65,153.62,77.0,18.34
217,0,AZ,82,40.08,49.41,60.8,2.24
218,76,BR,95,-18.5,-54.75,71.9,4.72
219,0,FR,93,49.65,0.71,57.22,8.05
220,68,BR,88,-9.31,-36.86,70.1,8.86
221,92,RU,96,59.38,28.61,51.83,10.2
222,0,IN,80,25.52,90.21,78.2,2.93
223,0,TR,59,37.36,38.53,62.6,2.24
224,68,RU,92,69.49,88.39,31.94,4.27
225,24,IN,37,27.15,74.86,79.82,4.38
226,88,IS,100,64.25,-15.21,42.02,9.42
227,1,US,93,43.37,-124.22,51.8,4.72
228,90,CA,100,48.41,-89.26,39.2,8.05
229,48,MX,100,15.86,-97.07,79.82,5.28
230,0,MX,68,27.52,-110.01,68.03,2.59
231,0,IR,95,36.55,52.68,56.87,3.38
232,92,RU,60,62.16,117.65,41.57,11.21
233,0,RU,71,70.0,135.55,26.9,10.2
234,8,YE,96,12.79,45.03,81.35,2.93
235,90,US,69,36.31,-82.35,69.22,8.05
236,92,IE,94,53.8,-9.52,56.15,18.81
